2
3
2
3
1.0
[0.50445562 0.02317361] 10 True {}
training session 163 done in 88 steps, espsilon: 0.01
[0.5368578  0.04995707] 10 True {}
training session 164 done in 160 steps, espsilon: 0.01
[0.5358578  0.04895707] 10 True {}
training session 165 done in 151 steps, espsilon: 0.01
[0.5368578  0.04995707] 10 True {}
training session 166 done in 152 steps, espsilon: 0.01
[0.5139912  0.01868649] 10 True {}
training session 167 done in 90 steps, espsilon: 0.01
[0.5368578  0.04995707] 10 True {}
training session 168 done in 165 steps, espsilon: 0.01
[0.50480504 0.01312825] 10 True {}
training session 169 done in 102 steps, espsilon: 0.01
[0.53872158 0.04429344] 10 True {}
training session 170 done in 192 steps, espsilon: 0.01
[0.5368578  0.04995707] 10 True {}
training session 171 done in 159 steps, espsilon: 0.01
[0.5368578  0.04995707] 10 True {}
training session 172 done in 147 steps, espsilon: 0.01
[0.52123458 0.04847604] 10 True {}
training session 173 done in 144 steps, espsilon: 0.01
[0.50076351 0.02550932] 10 True {}
training session 174 done in 151 steps, espsilon: 0.01
[0.5368578  0.04995707] 10 True {}
training session 175 done in 147 steps, espsilon: 0.01
[0.50612392 0.01138774] 10 True {}
training session 176 done in 106 steps, espsilon: 0.01
[0.51453753 0.0181525 ] 10 True {}
training session 177 done in 91 steps, espsilon: 0.01
training session 178 done in 200 steps, espsilon: 0.01
[0.51351209 0.01658574] 10 True {}
training session 179 done in 172 steps, espsilon: 0.01
[0.52594564 0.04866717] 10 True {}
training session 180 done in 150 steps, espsilon: 0.01
[0.51290648 0.01812415] 10 True {}
training session 181 done in 95 steps, espsilon: 0.01
training session 182 done in 200 steps, espsilon: 0.01
[0.53252352 0.04627372] 10 True {}
training session 183 done in 168 steps, espsilon: 0.01
training session 184 done in 200 steps, espsilon: 0.01
[0.50859977 0.04893469] 10 True {}
training session 185 done in 153 steps, espsilon: 0.01
[0.51581209 0.04689143] 10 True {}
training session 186 done in 154 steps, espsilon: 0.01
[0.52571261 0.04864504] 10 True {}
training session 187 done in 145 steps, espsilon: 0.01
training session 188 done in 200 steps, espsilon: 0.01
training session 189 done in 200 steps, espsilon: 0.01
[0.53394668 0.03454649] 10 True {}
training session 190 done in 152 steps, espsilon: 0.01
[0.52135892 0.04836078] 10 True {}
training session 191 done in 160 steps, espsilon: 0.01
[0.50859977 0.04893469] 10 True {}
training session 192 done in 151 steps, espsilon: 0.01
[0.50481952 0.02190697] 10 True {}
training session 193 done in 174 steps, espsilon: 0.01
training session 194 done in 200 steps, espsilon: 0.01
[0.52571261 0.04864504] 10 True {}
training session 195 done in 157 steps, espsilon: 0.01
[0.50319104 0.01875166] 10 True {}
training session 196 done in 93 steps, espsilon: 0.01
training session 197 done in 200 steps, espsilon: 0.01
[0.54207271 0.04924151] 10 True {}
training session 198 done in 160 steps, espsilon: 0.01
training session 199 done in 200 steps, espsilon: 0.01
[0.50350425 0.01813204] 10 True {}
training session 200 done in 99 steps, espsilon: 0.01
training session 201 done in 200 steps, espsilon: 0.01
training session 202 done in 200 steps, espsilon: 0.01
training session 203 done in 200 steps, espsilon: 0.01
[0.50437252 0.00978922] 10 True {}
training session 204 done in 186 steps, espsilon: 0.01
[0.51403658 0.01600557] 10 True {}
training session 205 done in 172 steps, espsilon: 0.01
[0.53018021 0.0356877 ] 10 True {}
training session 206 done in 160 steps, espsilon: 0.01
[0.50051612 0.01432885] 10 True {}
training session 207 done in 103 steps, espsilon: 0.01
[0.52530701 0.04856897] 10 True {}
training session 208 done in 174 steps, espsilon: 0.01
[0.50859977 0.04893469] 10 True {}
training session 209 done in 186 steps, espsilon: 0.01
[0.50513858 0.04735061] 10 True {}
training session 210 done in 163 steps, espsilon: 0.01
[0.51482739 0.04686598] 10 True {}
